"TRNS_TYPE","TRNS_DT","AMOUNT","WITHWHOM","DESCRIP","PAIDWITH","ADDRESS","KEYWORD1","KEYWORD2","KEYWORD3"
"E","03/25/2015",8.48,"STAPLES","Pens","AmExpress Visa","660 QUINCE ORCHARD RD
GAITHERSBURG
MD","Office Supplies",,
"E","03/29/2015",60.02,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","03/31/2015",25.72,"MICHAELS","Art Supplies","AmExpress Visa","821 CENTER POINT WAY
GAITHERSBURG
MD","Art Supplies",,
"E","03/31/2015",78.53,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/02/2015",8.21,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/04/2015",17.83,"GIANT 346","Gas","AmExpress Visa","5310 NEW DESIGN RD
FREDERICK
MD","Gas",,
"E","04/04/2015",11.95,"MOM'S ORGANIC MARKET","Groceries","AmExpress Visa","5273 BUCKEYSTOWN PIKE
FREDERICK
MD","Groceries",,
"E","04/04/2015",32.06,"MOM'S ORGANIC MARKET","Groceries","AmExpress Visa","5273 BUCKEYSTOWN PIKE
FREDERICK
MD","Groceries",,
"E","04/06/2015",45.76,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/07/2015",7.43,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/09/2015",14.32,"MICHAELS","Art Supplies","AmExpress Visa","821 CENTER POINT WAY
GAITHERSBURG
MD","Art Supplies",,
"E","04/11/2015",26.35,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/12/2015",15.37,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","04/12/2015",18.19,"SAINT LOUIS BREAD","Restaurant","AmExpress Visa","8191 STRAWBERRY LANE
FALLS CHURCH
VA","Restaurant",,
"E","04/12/2015",10.07,"SAFEWAY","Groceries","AmExpress Visa","7397 LEE HWY
FALLS CHURCH
VA","Groceries",,
"E","04/13/2015",42.39,"BARNES & NOBLE","Books","AmExpress Visa","21 GRAND CORNER AVE
GAITHERSBURG
MD","Books",,
"E","04/13/2015",3.50,"GIANT 368","Groceries","AmExpress Visa","842 MUDDY BRANCH RD
GAITHERSBURG
MD","Groceries",,
"E","04/15/2015",28.92,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/16/2015",4.21,"LOWE'S","Unknown","AmExpress Visa","40 MARKET ST
GAITHERSBURG
MD","Hardware",,
"E","04/19/2015",8.68,"PANERA BREAD","Restaurant","AmExpress Visa","285 KENTLANDS BLVD
GAITHERSBURG
MD","Restaurant",,
"E","04/19/2015",50.10,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/20/2015",11.75,"ARCLIFGHT BETHESDA","Movies","AmExpress Visa","7101 DEMOCRACY BLVD
BETHESDA
MD","Movies",,
"E","04/20/2015",1.00,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","04/22/2015",31.50,"ELEPHANT JUMPS","Restaurant","AmExpress Visa","8110 ARLINGTON BLVD
FALLS CHURCH
VA","Restaurant",,
"E","04/22/2015",10.99,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/22/2015",53.51,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/22/2015",23.72,"SHELL","Gas","AmExpress Visa","12700 NORTHBOROUGH DR
HOUSTON
TX","Gas",,
"E","04/23/2015",11.07,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/26/2015",22.63,"SAINT LOUIS BREAD","Restaurant","AmExpress Visa","8191 STRAWBERRY LANE
FALLS CHURCH
VA","Restaurant",,
"E","04/26/2015",24.58,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","04/29/2015",17.61,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/03/2015",22.13,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/03/2015",10.74,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","7511 LEESBURG PIKE
FALLS CHURCH
VA","Groceries",,
"E","05/04/2015",57.18,"POTOMAC GARDEN CENTER","Flowers","AmExpress Visa","8710 FINGERBOARD RD
FREDERICK
MD","Garden",,
"E","05/05/2015",6.50,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/05/2015",23.90,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/05/2015",29.12,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/06/2015",17.64,"LOWE'S","Unknown","AmExpress Visa","40 MARKET ST
GAITHERSBURG
MD","Hardware",,
"E","05/07/2015",25.65,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/12/2015",7.38,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/12/2015",73.16,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/16/2015",22.25,"SEARS","Clothes","AmExpress Visa","701 RUSSELL AVE
STE 1
GAITHERSBURG
MD","Clothes",,
"E","05/16/2015",50.90,"SEARS","Clothes","AmExpress Visa","701 RUSSELL AVE
STE 1
GAITHERSBURG
MD","Clothes",,
"E","05/16/2015",11.07,"TRADER JOE'S","Groceries","AmExpress Visa","18270 CONTOUR RD
MONTGOMERY VILLAGE
MD","Groceries",,
"E","05/16/2015",30.73,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/18/2015",45.37,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/19/2015",16.88,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/20/2015",8.47,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/22/2015",13.84,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","05/23/2015",49.47,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
